store_id,product_id,stock_quantity,reorder_level,snapshot_date
S001,P00001,-5,25,2026-07-08
S001,P00002,59,25,2026-07-08
S001,P00003,284,25,2026-07-08
S001,P00004,113,25,2026-07-08
S001,P00005,56,25,2026-07-08
S001,P00006,32,25,2026-07-08
S001,P00007,122,25,2026-07-08
S001,P00008,25,25,2026-07-08
S001,P00009,208,25,2026-07-08
S001,P00010,54,25,2026-07-08
S001,P00011,123,25,2026-07-08
S001,P00012,173,25,2026-07-08
S001,P00013,111,25,2026-07-08
S001,P00014,140,25,2026-07-08
S001,P00015,179,25,2026-07-08
S001,P00016,281,25,2026-07-08
S001,P00017,269,25,2026-07-08
S001,P00018,148,25,2026-07-08
S001,P00019,187,25,2026-07-08
S001,P00020,151,25,2026-07-08
S001,P00021,148,25,2026-07-08
S001,P00022,198,25,2026-07-08
S001,P00023,209,25,2026-07-08
S001,P00024,185,25,2026-07-08
S001,P00025,22,25,2026-07-08
S001,P00026,216,25,2026-07-08
S001,P00027,0,25,2026-07-08
S001,P00028,96,25,2026-07-08
S001,P00029,171,25,2026-07-08
S001,P00030,121,25,2026-07-08
S001,P00031,102,25,2026-07-08
S001,P00032,260,25,2026-07-08
S001,P00033,209,25,2026-07-08
S001,P00034,123,25,2026-07-08
S001,P00035,137,25,2026-07-08
S001,P00036,33,25,2026-07-08
S001,P00037,56,25,2026-07-08
S001,P00038,52,25,2026-07-08
S001,P00039,79,25,2026-07-08
S001,P00040,209,25,2026-07-08
S001,P00041,33,25,2026-07-08
S001,P00042,223,25,2026-07-08
S001,P00043,47,25,2026-07-08
S001,P00044,219,25,2026-07-08
S001,P00045,144,25,2026-07-08
S001,P00046,119,25,2026-07-08
S001,P00047,265,25,2026-07-08
S001,P00048,74,25,2026-07-08
S001,P00049,273,25,2026-07-08
S001,P00050,38,25,2026-07-08
S001,P00051,157,25,2026-07-08
S001,P00052,51,25,2026-07-08
S001,P00053,160,25,2026-07-08
S001,P00054,118,25,2026-07-08
S001,P00055,157,25,2026-07-08
S001,P00056,295,25,2026-07-08
S001,P00057,47,25,2026-07-08
S001,P00058,27,25,2026-07-08
S001,P00059,72,25,2026-07-08
S001,P00060,102,25,2026-07-08
S001,P00061,181,25,2026-07-08
S001,P00062,132,25,2026-07-08
S001,P00063,273,25,2026-07-08
S001,P00064,196,25,2026-07-08
S001,P00065,100,25,2026-07-08
S001,P00066,54,25,2026-07-08
S001,P00067,92,25,2026-07-08
S001,P00068,4,25,2026-07-08
S001,P00069,188,25,2026-07-08
S001,P00070,143,25,2026-07-08
S001,P00071,100,25,2026-07-08
S001,P00072,161,25,2026-07-08
S001,P00073,231,25,2026-07-08
S001,P00074,288,25,2026-07-08
S001,P00075,297,25,2026-07-08
S001,P00076,269,25,2026-07-08
S001,P00077,260,25,2026-07-08
S001,P00078,244,25,2026-07-08
S001,P00079,285,25,2026-07-08
S001,P00080,157,25,2026-07-08
S001,P00081,280,25,2026-07-08
S001,P00082,296,25,2026-07-08
S001,P00083,102,25,2026-07-08
S001,P00084,87,25,2026-07-08
S001,P00085,164,25,2026-07-08
S001,P00086,111,25,2026-07-08
S001,P00087,107,25,2026-07-08
S001,P00088,296,25,2026-07-08
S001,P00089,134,25,2026-07-08
S001,P00090,106,25,2026-07-08
S001,P00091,206,25,2026-07-08
S001,P00092,94,25,2026-07-08
S001,P00093,278,25,2026-07-08
S001,P00094,285,25,2026-07-08
S001,P00095,86,25,2026-07-08
S001,P00096,11,25,2026-07-08
S001,P00097,141,25,2026-07-08
S001,P00098,71,25,2026-07-08
S001,P00099,227,25,2026-07-08
S001,P00100,212,25,2026-07-08
S001,P00101,74,25,2026-07-08
S001,P00102,243,25,2026-07-08
S001,P00103,48,25,2026-07-08
S001,P00104,76,25,2026-07-08
S001,P00105,71,25,2026-07-08
S001,P00106,17,25,2026-07-08
S001,P00107,16,25,2026-07-08
S001,P00108,127,25,2026-07-08
S001,P00109,228,25,2026-07-08
S001,P00110,51,25,2026-07-08
S001,P00111,248,25,2026-07-08
S001,P00112,103,25,2026-07-08
S001,P00113,124,25,2026-07-08
S001,P00114,164,25,2026-07-08
S001,P00115,226,25,2026-07-08
S001,P00116,296,25,2026-07-08
S001,P00117,39,25,2026-07-08
S001,P00118,68,25,2026-07-08
S001,P00119,165,25,2026-07-08
S001,P00120,88,25,2026-07-08
S001,P00121,232,25,2026-07-08
S001,P00122,293,25,2026-07-08
S001,P00123,105,25,2026-07-08
S001,P00124,179,25,2026-07-08
S001,P00125,270,25,2026-07-08
S001,P00126,240,25,2026-07-08
S001,P00127,215,25,2026-07-08
S001,P00128,60,25,2026-07-08
S001,P00129,73,25,2026-07-08
S001,P00130,284,25,2026-07-08
S001,P00131,8,25,2026-07-08
S001,P00132,198,25,2026-07-08
S001,P00133,24,25,2026-07-08
S001,P00134,238,25,2026-07-08
S001,P00135,206,25,2026-07-08
S001,P00136,21,25,2026-07-08
S001,P00137,60,25,2026-07-08
S001,P00138,142,25,2026-07-08
S001,P00139,236,25,2026-07-08
S001,P00140,98,25,2026-07-08
S001,P00141,274,25,2026-07-08
S001,P00142,254,25,2026-07-08
S001,P00143,226,25,2026-07-08
S001,P00144,29,25,2026-07-08
S001,P00145,143,25,2026-07-08
S001,P00146,217,25,2026-07-08
S001,P00147,49,25,2026-07-08
S001,P00148,9,25,2026-07-08
S001,P00149,162,25,2026-07-08
S001,P00150,126,25,2026-07-08
S001,P00151,232,25,2026-07-08
S001,P00152,203,25,2026-07-08
S001,P00153,292,25,2026-07-08
S001,P00154,215,25,2026-07-08
S001,P00155,264,25,2026-07-08
S001,P00156,43,25,2026-07-08
S001,P00157,290,25,2026-07-08
S001,P00158,281,25,2026-07-08
S001,P00159,255,25,2026-07-08
S001,P00160,100,25,2026-07-08
S001,P00161,300,25,2026-07-08
S001,P00162,148,25,2026-07-08
S001,P00163,208,25,2026-07-08
S001,P00164,270,25,2026-07-08
S001,P00165,289,25,2026-07-08
S001,P00166,212,25,2026-07-08
S001,P00167,7,25,2026-07-08
