order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_amount
OI00075005,O0015001,P00134,-2,18407.99,0,55223.97
OI00075006,O0015001,P88888,3,14165.99,0,42497.97
OI00075007,O0015001,P00422,2,7863.99,10,14155.18
OI00075008,O0015001,P00375,3,1424.99,0,4274.97
OI00075009,O0015002,P00175,3,24024.99,15,61263.72
OI00075010,O0015002,P00287,1,14368.99,0,14368.99
OI00075011,O0015003,P00018,4,2515.99,0,10063.96
OI00075012,O0015003,P00033,1,4570.99,10,4113.89
OI00075013,O0015004,P00058,3,7995.99,0,23987.97
OI00075014,O0015004,P00315,1,18204.99,0,18204.99
OI00075015,O0015005,P00146,4,20051.99,0,80207.96
OI00075016,O0015005,P00044,2,6077.99,0,12155.98
OI00075017,O0015005,P00332,1,20533.99,0,20533.99
OI00075018,O0015006,P00005,1,734.99,10,661.49
OI00075019,O0015006,P00028,4,3885.99,0,15543.96
OI00075020,O0015006,P00125,4,17174.99,15,58394.97
OI00075021,O0015006,P00383,2,2520.99,0,5041.98
OI00075022,O0015007,P00348,4,22725.99,0,90903.96
OI00075023,O0015007,P00301,2,16286.99,0,32573.98
OI00075024,O0015007,P00168,3,23065.99,0,69197.97
OI00075025,O0015007,P00200,4,2449.99,5,9309.96
OI00075026,O0015007,P00054,1,7447.99,0,7447.99
OI00075027,O0015008,P00376,3,1561.99,15,3983.07
OI00075028,O0015008,P00420,1,7589.99,10,6830.99
OI00075029,O0015008,P00061,3,8406.99,0,25220.97
OI00075030,O0015008,P00424,3,8137.99,0,24413.97
OI00075031,O0015008,P00381,1,2246.99,0,2246.99
OI00075032,O0015009,P00384,2,2657.99,5,5050.18
OI00075033,O0015009,P00411,2,6356.99,0,12713.98
OI00075034,O0015009,P00466,2,13891.99,0,27783.98
OI00075035,O0015009,P00039,1,5392.99,0,5392.99
OI00075036,O0015009,P00305,2,16834.99,0,33669.98
OI00075037,O0015010,P00405,4,5534.99,0,22139.96
OI00075038,O0015010,P00383,1,2520.99,0,2520.99
OI00075039,O0015010,P00477,4,15398.99,5,58516.16
OI00075040,O0015010,P00323,3,19300.99,5,55007.82
OI00075041,O0015011,P00235,3,7244.99,0,21734.97
OI00075042,O0015011,P00332,4,20533.99,0,82135.96
OI00075043,O0015012,P00446,3,11151.99,0,33455.97
OI00075044,O0015012,P00010,1,1419.99,5,1348.99
OI00075045,O0015012,P00400,3,4849.99,5,13822.47
OI00075046,O0015012,P00158,1,21695.99,5,20611.19
OI00075047,O0015013,P00428,3,8685.99,0,26057.97
OI00075048,O0015014,P00097,2,13338.99,10,24010.18
OI00075049,O0015014,P00463,4,13480.99,0,53923.96
OI00075050,O0015015,P00019,2,2652.99,0,5305.98
OI00075051,O0015015,P00041,1,5666.99,0,5666.99
OI00075052,O0015015,P00231,4,6696.99,10,24109.16
OI00075053,O0015016,P00129,1,17722.99,0,17722.99
OI00075054,O0015016,P00278,2,13135.99,0,26271.98
OI00075055,O0015016,P00099,4,13612.99,0,54451.96
OI00075056,O0015017,P00165,4,22654.99,0,90619.96
OI00075057,O0015017,P00284,4,13957.99,5,53040.36
OI00075058,O0015018,P00465,1,13754.99,15,11691.74
OI00075059,O0015018,P00438,2,10055.99,15,17095.18
OI00075060,O0015018,P00087,2,11968.99,10,21544.18
OI00075061,O0015018,P00139,2,19092.99,5,36276.68
OI00075062,O0015019,P00294,2,15327.99,10,27590.38
OI00075063,O0015019,P00173,1,23750.99,0,23750.99
OI00075064,O0015020,P00482,2,16083.99,5,30559.58
OI00075065,O0015020,P00261,2,10806.99,15,18371.88
OI00075066,O0015020,P00220,3,5189.99,5,14791.47
OI00075067,O0015020,P00214,4,4367.99,15,14851.17
OI00075068,O0015020,P00062,2,8543.99,0,17087.98
OI00075069,O0015021,P00112,1,15393.99,15,13084.89
OI00075070,O0015021,P00398,4,4575.99,0,18303.96
OI00075071,O0015022,P00051,2,7036.99,0,14073.98
OI00075072,O0015022,P00479,3,15672.99,10,42317.07
OI00075073,O0015023,P00211,1,3956.99,0,3956.99
OI00075074,O0015023,P00265,1,11354.99,0,11354.99
OI00075075,O0015023,P00077,3,10598.99,5,30207.12
OI00075076,O0015024,P00335,2,20944.99,0,41889.98
OI00075077,O0015024,P00007,1,1008.99,0,1008.99
OI00075078,O0015024,P00041,4,5666.99,5,21534.56
OI00075079,O0015024,P00274,4,12587.99,0,50351.96
OI00075080,O0015024,P00221,4,5326.99,10,19177.16
OI00075081,O0015025,P00437,3,9918.99,10,26781.27
OI00075082,O0015025,P00423,2,8000.99,0,16001.98
OI00075083,O0015025,P00431,2,9096.99,0,18193.98
OI00075084,O0015026,P00295,4,15464.99,0,61859.96
OI00075085,O0015026,P00222,2,5463.99,0,10927.98
OI00075086,O0015026,P00213,3,4230.99,5,12058.32
OI00075087,O0015026,P00455,2,12384.99,0,24769.98
OI00075088,O0015027,P00109,3,14982.99,0,44948.97
OI00075089,O0015028,P00061,3,8406.99,0,25220.97
OI00075090,O0015028,P00234,4,7107.99,0,28431.96
OI00075091,O0015028,P00382,3,2383.99,0,7151.97
OI00075092,O0015028,P00456,4,12521.99,0,50087.96
OI00075093,O0015028,P00421,2,7726.99,0,15453.98
OI00075094,O0015029,P00191,1,1216.99,15,1034.44
OI00075095,O0015029,P00423,3,8000.99,0,24002.97
OI00075096,O0015029,P00296,2,15601.99,15,26523.38
OI00075097,O0015029,P00115,2,15804.99,15,26868.48
OI00075098,O0015029,P00171,3,23476.99,5,66909.42
OI00075099,O0015030,P00021,4,2926.99,0,11707.96
OI00075100,O0015030,P00194,3,1627.99,0,4883.97
OI00075101,O0015030,P00439,2,10192.99,0,20385.98
OI00075102,O0015030,P00035,2,4844.99,5,9205.48
OI00075103,O0015030,P00059,3,8132.99,10,21959.07
OI00075104,O0015031,P00283,4,13820.99,10,49755.56
OI00075105,O0015031,P00046,4,6351.99,0,25407.96
OI00075106,O0015032,P00199,3,2312.99,10,6245.07
OI00075107,O0015032,P00337,1,21218.99,15,18036.14
OI00075108,O0015032,P00422,4,7863.99,0,31455.96
OI00075109,O0015032,P00148,4,20325.99,0,81303.96
OI00075110,O0015032,P00290,4,14779.99,10,53207.96
OI00075111,O0015033,P00239,1,7792.99,0,7792.99
OI00075112,O0015033,P00482,3,16083.99,10,43426.77
OI00075113,O0015033,P00366,2,191.99,5,364.78
OI00075114,O0015034,P00344,4,22177.99,0,88711.96
OI00075115,O0015034,P00063,4,8680.99,10,31251.56
OI00075116,O0015034,P00484,3,16357.99,0,49073.97
OI00075117,O0015034,P00022,4,3063.99,0,12255.96
OI00075118,O0015035,P00482,3,16083.99,15,41014.17
OI00075119,O0015036,P00015,3,2104.99,5,5999.22
OI00075120,O0015036,P00249,3,9162.99,0,27488.97
OI00075121,O0015036,P00246,2,8751.99,5,16628.78
OI00075122,O0015036,P00171,3,23476.99,0,70430.97
OI00075123,O0015037,P00393,1,3890.99,0,3890.99
OI00075124,O0015037,P00463,2,13480.99,5,25613.88
OI00075125,O0015037,P00454,1,12247.99,0,12247.99
OI00075126,O0015038,P00140,1,19229.99,0,19229.99
OI00075127,O0015038,P00129,3,17722.99,5,50510.52
OI00075128,O0015038,P00106,1,14571.99,0,14571.99
OI00075129,O0015038,P00331,1,20396.99,10,18357.29
OI00075130,O0015039,P00037,4,5118.99,0,20475.96
OI00075131,O0015039,P00348,4,22725.99,0,90903.96
OI00075132,O0015039,P00443,2,10740.99,5,20407.88
OI00075133,O0015040,P00008,1,1145.99,10,1031.39
OI00075134,O0015040,P00140,4,19229.99,0,76919.96
OI00075135,O0015041,P00498,3,18275.99,0,54827.97
OI00075136,O0015041,P00443,3,10740.99,0,32222.97
OI00075137,O0015041,P00205,3,3134.99,0,9404.97
OI00075138,O0015041,P00227,1,6148.99,0,6148.99
OI00075139,O0015041,P00062,4,8543.99,15,29049.57
