product_id,product_name,category,brand,unit_price,is_active
P00001,Electronics Product 1,Electronics,Brand2,186.99,true
P00002,Home Product 2,Home,Brand3,323.99,true
P00003,Fashion Product 3,Fashion,Brand4,460.99,true
P00004,Grocery Product 4,Grocery,Brand5,597.99,true
P00005,Sports Product 5,Sports,Brand6,734.99,true
P00006,Beauty Product 6,Beauty,Brand7,871.99,true
P00007,Books Product 7,Books,Brand8,1008.99,true
P00008,Electronics Product 8,Electronics,Brand9,1145.99,true
P00009,Home Product 9,Home,Brand10,1282.99,true
P00010,Fashion Product 10,Fashion,Brand11,1419.99,true
P00011,Grocery Product 11,Grocery,Brand12,1556.99,true
P00012,Sports Product 12,Sports,Brand13,1693.99,true
P00013,Beauty Product 13,Beauty,Brand14,1830.99,true
P00014,Books Product 14,Books,Brand15,1967.99,true
P00015,Electronics Product 15,Electronics,Brand16,2104.99,true
P00016,Home Product 16,Home,Brand17,2241.99,true
P00017,Fashion Product 17,Fashion,Brand18,2378.99,true
P00018,Grocery Product 18,Grocery,Brand19,2515.99,true
P00019,Sports Product 19,Sports,Brand20,2652.99,true
P00020,Beauty Product 20,Beauty,Brand21,2789.99,true
P00021,Books Product 21,Books,Brand22,2926.99,true
P00022,Electronics Product 22,Electronics,Brand23,3063.99,true
P00023,Home Product 23,Home,Brand24,3200.99,true
P00024,Fashion Product 24,Fashion,Brand25,3337.99,true
P00025,Grocery Product 25,Grocery,Brand26,3474.99,true
P00026,Sports Product 26,Sports,Brand27,3611.99,true
P00027,Beauty Product 27,Beauty,Brand28,3748.99,true
P00028,Books Product 28,Books,Brand29,3885.99,true
P00029,Electronics Product 29,Electronics,Brand30,4022.99,true
P00030,Home Product 30,Home,Brand31,4159.99,true
P00031,Fashion Product 31,Fashion,Brand32,4296.99,true
P00032,Grocery Product 32,Grocery,Brand33,4433.99,true
P00033,Sports Product 33,Sports,Brand34,4570.99,true
P00034,Beauty Product 34,Beauty,Brand35,4707.99,true
P00035,Books Product 35,Books,Brand1,4844.99,true
P00036,Electronics Product 36,Electronics,Brand2,4981.99,true
P00037,Home Product 37,Home,Brand3,5118.99,true
P00038,Fashion Product 38,Fashion,Brand4,5255.99,true
P00039,Grocery Product 39,Grocery,Brand5,5392.99,true
P00040,Sports Product 40,Sports,Brand6,5529.99,true
P00041,Beauty Product 41,Beauty,Brand7,5666.99,true
P00042,Books Product 42,Books,Brand8,5803.99,true
P00043,Electronics Product 43,Electronics,Brand9,5940.99,true
P00044,Home Product 44,Home,Brand10,6077.99,true
P00045,Fashion Product 45,Fashion,Brand11,6214.99,true
P00046,Grocery Product 46,Grocery,Brand12,6351.99,true
P00047,Sports Product 47,Sports,Brand13,6488.99,true
P00048,Beauty Product 48,Beauty,Brand14,6625.99,true
P00049,Books Product 49,Books,Brand15,6762.99,true
P00050,Electronics Product 50,Electronics,Brand16,6899.99,true
P00051,Home Product 51,Home,Brand17,7036.99,true
P00052,Fashion Product 52,Fashion,Brand18,7173.99,true
P00053,Grocery Product 53,Grocery,Brand19,7310.99,true
P00054,Sports Product 54,Sports,Brand20,7447.99,true
P00055,Beauty Product 55,Beauty,Brand21,7584.99,true
P00056,Books Product 56,Books,Brand22,7721.99,true
P00057,Electronics Product 57,Electronics,Brand23,7858.99,true
P00058,Home Product 58,Home,Brand24,7995.99,true
P00059,Fashion Product 59,Fashion,Brand25,8132.99,true
P00060,Grocery Product 60,Grocery,Brand26,8269.99,true
P00061,Sports Product 61,Sports,Brand27,8406.99,true
P00062,Beauty Product 62,Beauty,Brand28,8543.99,true
P00063,Books Product 63,Books,Brand29,8680.99,true
P00064,Electronics Product 64,Electronics,Brand30,8817.99,true
P00065,Home Product 65,Home,Brand31,8954.99,true
P00066,Fashion Product 66,Fashion,Brand32,9091.99,true
P00067,Grocery Product 67,Grocery,Brand33,9228.99,true
P00068,Sports Product 68,Sports,Brand34,9365.99,true
P00069,Beauty Product 69,Beauty,Brand35,9502.99,true
P00070,Books Product 70,Books,Brand1,9639.99,true
P00071,Electronics Product 71,Electronics,Brand2,9776.99,true
P00072,Home Product 72,Home,Brand3,9913.99,true
P00073,Fashion Product 73,Fashion,Brand4,10050.99,true
P00074,Grocery Product 74,Grocery,Brand5,10187.99,true
P00075,Sports Product 75,Sports,Brand6,10324.99,true
P00076,Beauty Product 76,Beauty,Brand7,10461.99,true
P00077,Books Product 77,Books,Brand8,10598.99,true
P00078,Electronics Product 78,Electronics,Brand9,10735.99,true
P00079,Home Product 79,Home,Brand10,10872.99,true
P00080,Fashion Product 80,Fashion,Brand11,11009.99,true
