order_id,customer_id,store_id,order_timestamp,sales_channel,order_status,total_amount,updated_at
O0000001,C999999,S011,2026-07-06T03:54:00,MOBILE,COMPLETED,60756.92,2026-07-06T03:54:00
O0000002,C003920,S010,2026-07-05T00:22:00,MOBILE,COMPLETED,-500.00,2026-07-05T00:22:00
O0000003,C003901,S002,2026-07-07T07:09:00,STORE,UNKNOWN_STATUS,93491.32,2026-07-07T07:09:00
O0000004,C003598,S018,2026-07-01T17:02:00,MOBILE,COMPLETED,51469.14,2026-07-01T17:02:00
O0000005,C004953,S013,2026-07-05T10:53:00,MOBILE,COMPLETED,24331.96,2026-07-05T10:53:00
O0000006,C004215,S018,2026-07-04T05:50:00,STORE,COMPLETED,109203.86,2026-07-04T05:50:00
O0000007,C002194,S006,2026-07-06T18:30:00,MOBILE,COMPLETED,189212.63,2026-07-06T18:30:00
O0000008,C004556,S008,2026-07-05T10:08:00,WEB,COMPLETED,133125.05,2026-07-05T10:08:00
O0000009,C001414,S024,2026-07-05T01:29:00,MOBILE,COMPLETED,102781.03,2026-07-05T01:29:00
O0000010,C001964,S018,2026-07-07T06:05:00,MOBILE,COMPLETED,104226.11,2026-07-07T06:05:00
O0000011,C001389,S015,2026-07-04T02:35:00,WEB,COMPLETED,184278.93,2026-07-04T02:35:00
O0000012,C000058,S009,2026-07-02T19:23:00,MOBILE,COMPLETED,61828.41,2026-07-02T19:23:00
O0000013,C001981,S019,2026-07-03T18:18:00,MOBILE,COMPLETED,120730.53,2026-07-03T18:18:00
O0000014,C000403,S003,2026-07-07T07:30:00,STORE,COMPLETED,109230.31,2026-07-07T07:30:00
O0000015,C003654,S019,2026-07-04T09:58:00,WEB,COMPLETED,76710.95,2026-07-04T09:58:00
O0000016,C004359,S004,2026-07-01T23:16:00,WEB,COMPLETED,10121.99,2026-07-01T23:16:00
O0000017,C001351,S009,2026-07-03T01:50:00,WEB,COMPLETED,78940.70,2026-07-03T01:50:00
O0000018,C003032,S011,2026-07-02T18:11:00,STORE,COMPLETED,182969.30,2026-07-02T18:11:00
O0000019,C002689,S004,2026-07-01T13:37:00,STORE,COMPLETED,110458.52,2026-07-01T13:37:00
O0000020,C003864,S009,2026-07-06T14:38:00,WEB,COMPLETED,81393.13,2026-07-06T14:38:00
O0000021,C000949,S006,2026-07-04T04:02:00,MOBILE,COMPLETED,17726.97,2026-07-04T04:02:00
O0000022,C004587,S008,2026-07-01T11:01:00,WEB,COMPLETED,175882.87,2026-07-01T11:01:00
O0000023,C001659,S013,2026-07-06T04:52:00,STORE,COMPLETED,48573.60,2026-07-06T04:52:00
O0000024,C000615,S007,2026-07-03T18:43:00,WEB,COMPLETED,24809.97,2026-07-03T18:43:00
O0000025,C000851,S005,2026-07-02T08:52:00,MOBILE,COMPLETED,76309.95,2026-07-02T08:52:00
O0000026,C000883,S025,2026-07-03T01:13:00,WEB,COMPLETED,81370.34,2026-07-03T01:13:00
O0000027,C004378,S019,2026-07-05T21:17:00,MOBILE,COMPLETED,74015.94,2026-07-05T21:17:00
O0000028,C003381,S013,2026-07-06T16:28:00,STORE,COMPLETED,85603.29,2026-07-06T16:28:00
O0000029,C004798,S003,2026-07-01T19:47:00,WEB,COMPLETED,94296.84,2026-07-01T19:47:00
O0000030,C002586,S015,2026-07-03T10:39:00,WEB,COMPLETED,81788.09,2026-07-03T10:39:00
O0000031,C001657,S023,2026-07-01T12:10:00,STORE,COMPLETED,40318.94,2026-07-01T12:10:00
O0000032,C004264,S001,2026-07-04T17:12:00,MOBILE,COMPLETED,17919.98,2026-07-04T17:12:00
O0000033,C003871,S006,2026-07-04T08:30:00,WEB,COMPLETED,76102.22,2026-07-04T08:30:00
O0000034,C001056,S015,2026-07-02T21:45:00,STORE,COMPLETED,230223.74,2026-07-02T21:45:00
O0000035,C000202,S007,2026-07-01T18:12:00,WEB,COMPLETED,157969.92,2026-07-01T18:12:00
O0000036,C001075,S023,2026-07-06T06:22:00,MOBILE,COMPLETED,25114.08,2026-07-06T06:22:00
O0000037,C002467,S014,2026-07-07T03:31:00,MOBILE,COMPLETED,193385.47,2026-07-07T03:31:00
O0000038,C000294,S020,2026-07-05T19:48:00,STORE,COMPLETED,102923.13,2026-07-05T19:48:00
O0000039,C003994,S009,2026-07-05T02:44:00,STORE,COMPLETED,60979.93,2026-07-05T02:44:00
O0000040,C004054,S022,2026-07-03T18:06:00,STORE,COMPLETED,119997.95,2026-07-03T18:06:00
O0000041,C001132,S015,2026-07-04T23:38:00,WEB,COMPLETED,225519.84,2026-07-04T23:38:00
O0000042,C000458,S018,2026-07-06T04:09:00,MOBILE,COMPLETED,86238.51,2026-07-06T04:09:00
O0000043,C003150,S014,2026-07-03T03:34:00,WEB,COMPLETED,17229.98,2026-07-03T03:34:00
O0000044,C003151,S004,2026-07-04T20:58:00,WEB,COMPLETED,16029.71,2026-07-04T20:58:00
O0000045,C002488,S024,2026-07-02T11:19:00,STORE,COMPLETED,14463.57,2026-07-02T11:19:00
O0000046,C004118,S001,2026-07-06T06:01:00,STORE,COMPLETED,67217.19,2026-07-06T06:01:00
O0000047,C000809,S009,2026-07-07T04:21:00,MOBILE,COMPLETED,53702.73,2026-07-07T04:21:00
O0000048,C000353,S017,2026-07-04T17:18:00,WEB,COMPLETED,17207.96,2026-07-04T17:18:00
O0000049,C003795,S011,2026-07-02T07:49:00,WEB,COMPLETED,19657.08,2026-07-02T07:49:00
O0000050,C001590,S022,2026-07-04T10:11:00,STORE,COMPLETED,229954.88,2026-07-04T10:11:00
O0000051,C001576,S019,2026-07-01T20:06:00,WEB,COMPLETED,158515.99,2026-07-01T20:06:00
O0000052,C002192,S010,2026-07-05T23:21:00,STORE,COMPLETED,45374.97,2026-07-05T23:21:00
O0000053,C000017,S001,2026-07-07T04:54:00,MOBILE,COMPLETED,25441.46,2026-07-07T04:54:00
O0000054,C004359,S003,2026-07-02T01:57:00,MOBILE,COMPLETED,97732.37,2026-07-02T01:57:00
O0000055,C002907,S002,2026-07-01T12:20:00,WEB,COMPLETED,104312.11,2026-07-01T12:20:00
O0000056,C003607,S024,2026-07-06T14:52:00,MOBILE,COMPLETED,65115.90,2026-07-06T14:52:00
O0000057,C002850,S013,2026-07-03T04:14:00,STORE,COMPLETED,228573.83,2026-07-03T04:14:00
O0000058,C002324,S020,2026-07-04T15:41:00,STORE,COMPLETED,138835.86,2026-07-04T15:41:00
O0000059,C003376,S003,2026-07-04T03:23:00,STORE,COMPLETED,37139.37,2026-07-04T03:23:00
O0000060,C004055,S002,2026-07-02T02:30:00,WEB,COMPLETED,1771.19,2026-07-02T02:30:00
O0000061,C000177,S008,2026-07-06T10:15:00,WEB,COMPLETED,68437.07,2026-07-06T10:15:00
O0000062,C003667,S014,2026-07-06T11:50:00,MOBILE,COMPLETED,92227.13,2026-07-06T11:50:00
O0000063,C004631,S001,2026-07-02T02:30:00,STORE,COMPLETED,38401.28,2026-07-02T02:30:00
O0000064,C002368,S021,2026-07-04T16:53:00,MOBILE,COMPLETED,134531.80,2026-07-04T16:53:00
O0000065,C002183,S022,2026-07-01T20:39:00,STORE,COMPLETED,124798.51,2026-07-01T20:39:00
O0000066,C003089,S015,2026-07-02T08:49:00,WEB,COMPLETED,8433.89,2026-07-02T08:49:00
O0000067,C003219,S003,2026-07-07T01:22:00,MOBILE,COMPLETED,82284.44,2026-07-07T01:22:00
O0000068,C000361,S020,2026-07-03T10:03:00,WEB,COMPLETED,217146.43,2026-07-03T10:03:00
O0000069,C004790,S007,2026-07-07T00:45:00,MOBILE,COMPLETED,56123.38,2026-07-07T00:45:00
O0000070,C001982,S025,2026-07-07T07:42:00,MOBILE,COMPLETED,215056.37,2026-07-07T07:42:00
O0000071,C002641,S009,2026-07-04T16:40:00,WEB,COMPLETED,15980.97,2026-07-04T16:40:00
O0000072,C001837,S016,2026-07-06T01:45:00,WEB,COMPLETED,44792.82,2026-07-06T01:45:00
O0000073,C001554,S015,2026-07-03T15:08:00,WEB,COMPLETED,76383.35,2026-07-03T15:08:00
O0000074,C002821,S019,2026-07-07T00:33:00,WEB,COMPLETED,42214.16,2026-07-07T00:33:00
O0000075,C002854,S005,2026-07-03T11:58:00,WEB,COMPLETED,65903.96,2026-07-03T11:58:00
O0000076,C002690,S019,2026-07-07T01:19:00,WEB,COMPLETED,129637.02,2026-07-07T01:19:00
O0000077,C003901,S002,2026-07-05T13:53:00,MOBILE,COMPLETED,17015.97,2026-07-05T13:53:00
O0000078,C004425,S002,2026-07-05T21:02:00,STORE,COMPLETED,47198.82,2026-07-05T21:02:00
O0000079,C004660,S003,2026-07-03T11:13:00,STORE,COMPLETED,128040.10,2026-07-03T11:13:00
O0000080,C004226,S019,2026-07-03T11:34:00,STORE,COMPLETED,163719.34,2026-07-03T11:34:00
O0000081,C000586,S011,2026-07-01T21:24:00,WEB,COMPLETED,39349.94,2026-07-01T21:24:00
O0000082,C000217,S006,2026-07-07T07:37:00,STORE,COMPLETED,248304.17,2026-07-07T07:37:00
O0000083,C004014,S014,2026-07-04T10:11:00,STORE,COMPLETED,74312.09,2026-07-04T10:11:00
O0000084,C001880,S015,2026-07-04T17:33:00,WEB,COMPLETED,135162.86,2026-07-04T17:33:00
O0000085,C002481,S019,2026-07-06T15:31:00,WEB,COMPLETED,93691.06,2026-07-06T15:31:00
O0000086,C000605,S006,2026-07-03T15:45:00,WEB,COMPLETED,125678.29,2026-07-03T15:45:00
O0000087,C002987,S017,2026-07-02T01:07:00,WEB,COMPLETED,137828.32,2026-07-02T01:07:00
O0000088,C000280,S001,2026-07-03T13:32:00,MOBILE,COMPLETED,10379.98,2026-07-03T13:32:00
O0000089,C002000,S005,2026-07-04T19:02:00,MOBILE,COMPLETED,107214.69,2026-07-04T19:02:00
